feature_id,name,concept_id,concept_name,folds_in_top100,ranks,reason
outer_001_feature_228,neutrophil_to_lymphocyte_ratio,systemic_inflammation,Circulating leukocyte balance,5,"[2, 1, 2, 1, 1]",The explicitly reported or CBC-derived ratio directly captures the repeatedly supported leukocyte balance.
outer_001_feature_349,white_blood_cell_count,systemic_inflammation,Circulating leukocyte balance,5,"[4, 11, 6, 66, 5]","Total white blood cell count captures absolute leukocyte abundance, which the ratio does not, and has its own adjusted signal."
outer_001_feature_095,creatinine_clearance,renal_function,Renal filtration and nitrogen burden,5,"[5, 8, 24, 95, 18]",Pretreatment creatinine clearance is a specified filtration measurement with repeated forest support and avoids the naming ambiguity of feature 033.
outer_001_feature_037,blood_urea_nitrogen,renal_function,Renal filtration and nitrogen burden,5,"[9, 98, 44, 7, 8]",BUN provides a distinct nitrogen-burden measurement with repeated forest support and some univariable and R-learner support.
outer_001_feature_108,dyspnea_severity,dyspnea,Reported dyspnea severity,5,"[1, 17, 5, 23, 50]",The specified patient-reported 0–4 grade is the precise measurement carrying the recurring adjusted signal.
outer_001_feature_076,ck5_6_expression,tumor_lineage,Tumor histology and lineage staining,5,"[29, 9, 7, 28, 4]",CK5/6 directly measures the squamous-lineage facet and has recurring own-feature evidence.
outer_001_feature_330,ttf1_expression,tumor_lineage,Tumor histology and lineage staining,5,"[48, 2, 8, 9, 38]",TTF-1 supplies a complementary glandular-lineage facet with recurring own-feature evidence; adding Napsin A would be more redundant.
outer_001_feature_179,kras_g12c_variant_allele_frequency,kras_g12c_vaf,KRAS G12C variant allele frequency,4,"[22, 40, 9, None, 55]",It retains the mutation-specific meaning of the recurring signal; generic VAF could refer to another variant.
outer_001_feature_214,met_amplification_status,met_amplification,MET amplification,5,"[26, 56, 10, 55, 42]",It directly identifies MET amplification and has its own recurring adjusted evidence.
outer_001_feature_176,ki67_proliferation_index,proliferation,Ki-67 proliferation index,5,"[42, 4, 30, 89, 7]",It is the existing quantitative proliferation measurement carrying the recurring signal.
outer_001_feature_267,prior_platinum_chemotherapy,platinum_history,Prior platinum chemotherapy exposure,4,"[24, 3, None, 15, 46]",It directly specifies platinum exposure before the current treatment context; the agent-specific proxies reinforce this history but have less secure timing or narrower coverage.
outer_001_feature_113,emphysema,obstructive_lung,Obstructive lung disease and emphysema,4,"[50, 52, None, 16, 6]",Documented emphysema is the facet with the clearest repeated own-feature adjusted evidence.
outer_001_feature_103,dizziness_present,neurologic_symptoms,Pretreatment neurologic symptoms,4,"[None, 21, 12, 4, 96]",Dizziness is a specific pretreatment symptom with the most complementary evidence in this concept.
outer_001_feature_188,liver_metastasis_presence,liver_metastasis,Liver metastatic involvement,5,"[46, 92, 32, 5, 69]",It directly records pretreatment liver metastatic involvement and has its own cross-fold evidence.
