feature_id,name,ranks,folds_in_top100,sol_selected,gemma_selected,sol_concept,sol_decision,gemma_concept,gemma_decision
outer_001_feature_001,absolute_lymphocyte_count,"[14, 20, None, 38, 3]",4,False,False,Circulating leukocyte balance,retain,Patient Baseline and Comorbidities,exclude
outer_001_feature_004,actionable_molecular_alterations,"[None, None, 42, 32, None]",2,False,False,Broad molecular alteration status,exclude,Genomic and Molecular Profile,exclude
outer_001_feature_006,adjuvant_chemotherapy_administered,"[90, 66, None, 8, 31]",4,False,False,Prior platinum chemotherapy exposure,retain,Treatment History Miscellaneous,exclude
outer_001_feature_007,adrenal_metastasis_presence,"[94, None, None, 81, 72]",3,False,False,Adrenal metastatic findings,exclude,Distant Visceral Metastasis,retain
outer_001_feature_008,adrenal_nodule_size,"[None, None, None, 90, 36]",2,False,False,Adrenal metastatic findings,exclude,Distant Visceral Metastasis,retain
outer_001_feature_009,age,"[None, None, 46, None, None]",1,False,False,Demographics and social exposures,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_010,airway_involvement,"[None, 42, 99, None, 70]",3,False,False,Primary lung tumor location and masses,uncertain,Chronic Lung Disease,retain
outer_001_feature_012,alcohol_use,"[None, None, None, None, 76]",1,False,False,Demographics and social exposures,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_013,alk_mutation_status,"[None, None, 82, None, None]",1,False,False,"EGFR, ALK, and RET alteration status",exclude,Genomic and Molecular Profile,exclude
outer_001_feature_015,alkaline_phosphatase_level,"[None, None, 60, None, None]",1,False,False,Liver-related laboratory measurements,exclude,General Vitals and Metabolites,exclude
outer_001_feature_019,anticoagulant_use,"[None, 34, 71, None, None]",2,False,False,"Cardiovascular disease, medicines, and blood pressure",exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_021,antihypertensive_use,"[54, None, None, None, None]",1,False,False,"Cardiovascular disease, medicines, and blood pressure",exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_022,anxiety_present,"[33, None, 3, None, 14]",3,False,False,Documented anxiety and psychiatric symptoms,uncertain,Patient Baseline and Comorbidities,exclude
outer_001_feature_023,appendectomy_history,"[None, 100, None, None, None]",1,False,False,Prior surgery and resection details,uncertain,Patient Baseline and Comorbidities,exclude
outer_001_feature_024,appetite_status,"[49, 63, None, 6, 64]",4,False,False,Nutrition and body mass,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_026,ast_level,"[None, None, 67, 94, None]",2,False,False,Liver-related laboratory measurements,exclude,General Vitals and Metabolites,exclude
outer_001_feature_030,axial_structure_abnormality,"[68, None, None, 77, None]",2,False,False,Other neuroimaging findings,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_033,biomarker_fgfr_status,"[None, 27, 15, 27, None]",3,False,False,Renal filtration and nitrogen burden,retain,Renal Function Status,retain
outer_001_feature_034,biopsy_method,"[30, 86, 91, None, 78]",4,False,False,Diagnostic and assay procedure details,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_036,blood_pressure,"[None, None, 74, 65, None]",2,False,False,"Cardiovascular disease, medicines, and blood pressure",exclude,General Vitals and Metabolites,exclude
outer_001_feature_037,blood_urea_nitrogen,"[9, 98, 44, 7, 8]",5,True,False,Renal filtration and nitrogen burden,retain,General Vitals and Metabolites,exclude
outer_001_feature_038,bmi,"[99, 91, 56, None, None]",3,False,False,Nutrition and body mass,exclude,General Vitals and Metabolites,exclude
outer_001_feature_040,body_weight,"[73, None, None, None, None]",1,False,False,Nutrition and body mass,exclude,General Vitals and Metabolites,exclude
outer_001_feature_042,bone_lesion_characteristics,"[None, None, 38, None, 74]",2,False,False,Osseous metastatic involvement,uncertain,Patient Baseline and Comorbidities,exclude
outer_001_feature_043,bone_metastasis_presence,"[None, 79, 39, None, 30]",3,False,False,Osseous metastatic involvement,uncertain,Patient Baseline and Comorbidities,exclude
outer_001_feature_044,bone_pain_location,"[None, 72, 17, None, 61]",3,False,False,Bone pain and skeletal complications,uncertain,Skeletal Compression Burden,retain
outer_001_feature_045,bone_pain_status,"[None, 68, 25, None, 68]",3,False,False,Bone pain and skeletal complications,uncertain,Skeletal Compression Burden,retain
outer_001_feature_048,brain_edema_status,"[None, None, 23, None, 35]",2,False,False,Intracranial lesion burden and associated edema,uncertain,Neuroimaging Characteristics,exclude
outer_001_feature_049,brain_lesion_count,"[None, 19, None, 12, None]",2,False,False,Intracranial lesion burden and associated edema,uncertain,Neuroimaging Characteristics,exclude
outer_001_feature_050,brain_lesion_size,"[None, None, None, 57, None]",1,False,False,Intracranial lesion burden and associated edema,uncertain,Neuroimaging Characteristics,exclude
outer_001_feature_052,brain_metastases_presence,"[None, None, 43, 54, None]",2,False,False,Intracranial lesion burden and associated edema,uncertain,Neuroimaging Characteristics,exclude
outer_001_feature_053,brain_structure_enhancement,"[19, 93, None, 30, None]",3,False,False,Intracranial lesion burden and associated edema,uncertain,Neuroimaging Characteristics,exclude
outer_001_feature_054,brainstem_signal,"[None, 61, None, 56, None]",2,False,False,Other neuroimaging findings,exclude,Neuroimaging Characteristics,exclude
outer_001_feature_055,brainstem_size,"[None, 64, None, None, None]",1,False,False,Other neuroimaging findings,exclude,Neuroimaging Characteristics,exclude
outer_001_feature_056,calorie_intake,"[None, None, None, None, 94]",1,False,False,Nutrition and body mass,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_057,calvarium_lytic_sclerotic_lesions,"[66, 90, 22, 10, None]",4,False,False,Osseous metastatic involvement,uncertain,Patient Baseline and Comorbidities,exclude
outer_001_feature_060,cancer_related_fatigue_severity,"[32, None, None, 50, 16]",3,False,False,Reported fatigue severity,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_061,carboplatin_administered,"[38, None, None, None, None]",1,False,False,Prior platinum chemotherapy exposure,retain,Treatment History Miscellaneous,exclude
outer_001_feature_064,cdkn2a_mutation_status,"[71, 10, 41, 45, 66]",5,False,False,CDKN2A loss,uncertain,Genomic and Molecular Profile,exclude
outer_001_feature_065,cea_level,"[20, 7, None, None, None]",2,False,False,Serum tumor-associated markers,uncertain,Patient Baseline and Comorbidities,exclude
outer_001_feature_072,chemotherapy_cycle_count,"[None, None, 88, None, None]",1,False,False,Prior platinum chemotherapy exposure,retain,Treatment History Miscellaneous,exclude
outer_001_feature_073,chemotherapy_regimen,"[None, None, 73, 79, None]",2,False,False,Prior platinum chemotherapy exposure,retain,Treatment History Miscellaneous,exclude
outer_001_feature_075,chronic_kidney_disease_stage,"[None, None, 69, None, None]",1,False,False,Renal filtration and nitrogen burden,retain,Patient Baseline and Comorbidities,exclude
outer_001_feature_076,ck5_6_expression,"[29, 9, 7, 28, 4]",5,True,False,Tumor histology and lineage staining,retain,Histologic and Pathology Features,exclude
outer_001_feature_077,ck7_expression,"[None, None, None, 70, 65]",2,False,False,Tumor histology and lineage staining,retain,Histologic and Pathology Features,exclude
outer_001_feature_078,clinical_decline,"[75, None, None, None, None]",1,False,False,Clinician-rated performance and general condition,uncertain,Overall Performance Status,uncertain
outer_001_feature_079,clinical_phenotype,"[None, None, 58, None, None]",1,False,False,Clinician-rated performance and general condition,uncertain,Overall Performance Status,uncertain
outer_001_feature_080,clinical_severity_score,"[52, None, None, None, None]",1,False,False,Clinician-rated performance and general condition,uncertain,Patient Baseline and Comorbidities,exclude
outer_001_feature_082,comorbidities,"[None, 75, 54, 2, None]",3,False,False,Clinician-rated performance and general condition,uncertain,Patient Baseline and Comorbidities,exclude
outer_001_feature_083,complete_blood_count_result,"[None, None, 95, None, 59]",2,False,False,Other CBC abnormalities and marrow toxicity,uncertain,Patient Baseline and Comorbidities,exclude
outer_001_feature_085,confusion_present,"[25, None, 26, 29, 17]",4,False,True,Pretreatment neurologic symptoms,retain,Cognitive Confusion Status,retain
outer_001_feature_086,contrast_agent_concentration,"[None, None, None, None, 93]",1,False,False,Diagnostic and assay procedure details,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_087,copd_presence,"[86, 31, None, None, None]",2,False,False,Obstructive lung disease and emphysema,retain,Chronic Lung Disease,retain
outer_001_feature_088,copd_severity,"[None, 38, None, None, None]",1,False,False,Obstructive lung disease and emphysema,retain,Chronic Lung Disease,retain
outer_001_feature_089,coronary_artery_disease,"[77, 22, None, 34, None]",3,False,False,"Cardiovascular disease, medicines, and blood pressure",exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_090,cough_presence,"[None, 70, 80, 84, None]",3,False,False,Cough and wheezing,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_091,cough_productivity,"[None, None, 45, None, None]",1,False,False,Cough and wheezing,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_092,cough_severity,"[None, 83, None, None, 52]",2,False,False,Cough and wheezing,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_095,creatinine_clearance,"[5, 8, 24, 95, 18]",5,True,False,Renal filtration and nitrogen burden,retain,Renal Function Status,retain
outer_001_feature_096,creatinine_level,"[7, 12, 16, 93, 53]",5,False,True,Renal filtration and nitrogen burden,retain,Renal Function Status,retain
outer_001_feature_099,deconditioning,"[None, 32, 63, None, None]",2,False,False,Clinician-rated performance and general condition,uncertain,Overall Performance Status,uncertain
outer_001_feature_100,diastolic_blood_pressure,"[None, None, 77, None, 71]",2,False,False,"Cardiovascular disease, medicines, and blood pressure",exclude,General Vitals and Metabolites,exclude
outer_001_feature_101,disease_recurrence,"[None, 74, 97, 48, 26]",4,False,False,Disease response and recurrence records,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_103,dizziness_present,"[None, 21, 12, 4, 96]",4,True,False,Pretreatment neurologic symptoms,retain,Patient Baseline and Comorbidities,exclude
outer_001_feature_104,dural_sinus_patency,"[None, None, 84, None, 90]",2,False,False,Other neuroimaging findings,exclude,Neuroimaging Characteristics,exclude
outer_001_feature_106,dyspnea,"[None, 88, None, None, 67]",2,False,False,Reported dyspnea severity,retain,Dyspnea Severity,retain
outer_001_feature_108,dyspnea_severity,"[1, 17, 5, 23, 50]",5,True,True,Reported dyspnea severity,retain,Dyspnea Severity,retain
outer_001_feature_109,ecog_performance_status,"[None, 49, 11, None, None]",2,False,False,Clinician-rated performance and general condition,uncertain,Overall Performance Status,uncertain
outer_001_feature_111,egfr_mutation_status,"[None, None, None, 59, None]",1,False,False,"EGFR, ALK, and RET alteration status",exclude,Genomic and Molecular Profile,exclude
outer_001_feature_113,emphysema,"[50, 52, None, 16, 6]",4,True,False,Obstructive lung disease and emphysema,retain,Chronic Lung Disease,retain
outer_001_feature_114,employment_status,"[44, None, 62, 44, None]",3,False,False,Demographics and social exposures,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_116,eortc_qlq_c30_cognitive_function,"[57, None, 65, None, 57]",3,False,False,Patient-reported quality of life and functioning,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_117,eortc_qlq_c30_emotional_function,"[67, None, None, None, 92]",2,False,False,Patient-reported quality of life and functioning,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_118,eortc_qlq_c30_global_health,"[None, 50, 89, None, 51]",3,False,False,Patient-reported quality of life and functioning,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_119,eortc_qlq_c30_nausea,"[None, None, 81, None, None]",1,False,False,Reported nausea,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_120,eortc_qlq_c30_physical_function,"[None, 51, None, None, 75]",2,False,False,Patient-reported quality of life and functioning,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_121,eortc_qlq_c30_social_function,"[None, None, None, None, 49]",1,False,False,Patient-reported quality of life and functioning,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_122,epidural_hemorrhage,"[None, 29, 1, 21, 15]",4,False,True,Intracranial hemorrhage and extra-axial collections,uncertain,Intracranial Hemorrhage Burden,retain
outer_001_feature_123,erythema_presence,"[None, None, None, 76, None]",1,False,False,Skin redness and rash,exclude,Patient Baseline and Comorbidities,exclude
outer_001_feature_124,esophagitis,"[76, 6, 59, None, None]",3,False,False,Other physical and local findings,exclude,Patient Baseline and Comorbidities,exclude
