feature_id,name,roles,stability,rationale,evidence_ids
outer_001_feature_001,absolute_lymphocyte_count,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_002,absolute_neutrophil_count,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_003,acetaminophen_administered,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_004,actionable_molecular_alterations,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_005,acute_kidney_injury_history,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_006,adjuvant_chemotherapy_administered,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_007,adrenal_metastasis_presence,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_008,adrenal_nodule_size,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_009,age,confounder,consistent,Universal baseline demographic with absolute consistency across all treatment and outcome models.,multi:outer_001_feature_009:predictive_forest:outcome;multi:outer_001_feature_009:predictive_forest:treatment;multi:outer_001_feature_009:univariable:outcome;multi:outer_001_feature_009:univariable:treatment
outer_001_feature_010,airway_involvement,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_011,albuterol_use,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_012,alcohol_use,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_013,alk_mutation_status,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_014,alk_rearrangement_status,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_015,alkaline_phosphatase_level,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_016,alt_level,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_017,ambulation_status,,consistent,Modifier rank 17 exceeds the training-selected prefix of 8. Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_018,anemia_type,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_019,anticoagulant_use,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_020,antidiabetic_use,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_021,antihypertensive_use,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_022,anxiety_present,effect_modifier,consistent,"Strong, consistent effect signal in both Causal Forest and Penalized Interactions.",multi:outer_001_feature_022:causal_forest:effect;multi:outer_001_feature_022:penalized_interactions:effect
outer_001_feature_023,appendectomy_history,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_024,appetite_status,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_025,asbestos_exposure_history,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_026,ast_level,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_027,atorvastatin_dose,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_028,atrial_fibrillation_presence,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_029,audiogram_status,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_030,axial_structure_abnormality,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_031,azithromycin_use,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_032,biomarker_egfr_status,,consistent,Modifier rank 13 exceeds the training-selected prefix of 8. Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_033,biomarker_fgfr_status,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_034,biopsy_method,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_035,bisphosphonate_therapy_status,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_036,blood_pressure,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_037,blood_urea_nitrogen,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_038,bmi,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_039,body_temperature,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_040,body_weight,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_041,bolus_dose_confirmed,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_042,bone_lesion_characteristics,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_043,bone_metastasis_presence,effect_modifier,consistent,High UR magnitude and consistent CF support; marks skeletal burden.,multi:outer_001_feature_043:causal_forest:effect;multi:outer_001_feature_043:univariable_rlearner:effect
outer_001_feature_044,bone_pain_location,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_045,bone_pain_status,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_046,booster_vaccination_indication,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_047,braf_mutation_status,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_048,brain_edema_status,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_049,brain_lesion_count,,consistent,Modifier rank 18 exceeds the training-selected prefix of 8. Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_050,brain_lesion_size,,mixed,Modifier rank 19 exceeds the training-selected prefix of 8. Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_051,brain_metastases_location,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_052,brain_metastases_presence,,consistent,Modifier rank 11 exceeds the training-selected prefix of 8. Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_053,brain_structure_enhancement,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_054,brainstem_signal,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_055,brainstem_size,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_056,calorie_intake,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_057,calvarium_lytic_sclerotic_lesions,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_058,cancer_diagnosis,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_059,cancer_location,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_060,cancer_related_fatigue_severity,effect_modifier,consistent,Strong UR score and consistent CF support; reflects patient-reported fatigue.,multi:outer_001_feature_060:causal_forest:effect;multi:outer_001_feature_060:univariable_rlearner:effect
outer_001_feature_061,carboplatin_administered,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_062,cataracts,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_063,cavernous_sinus_enhancement,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_064,cdkn2a_mutation_status,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_065,cea_level,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_066,cefepime_use,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_067,cerebellar_hemisphere_signal,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_068,cerebellar_hemisphere_size,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_069,cerebellar_white_matter_lesion_presence,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_070,cerebral_gray_matter_signal_intensity,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_071,cerebral_white_matter_signal_intensity,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_072,chemotherapy_cycle_count,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_073,chemotherapy_regimen,,consistent,Modifier rank 21 exceeds the training-selected prefix of 8. Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_074,cholecystectomy_history,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_075,chronic_kidney_disease_stage,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_076,ck5_6_expression,,consistent,Modifier rank 26 exceeds the training-selected prefix of 8. Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_077,ck7_expression,,mixed,Modifier rank 27 exceeds the training-selected prefix of 8. Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_078,clinical_decline,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_079,clinical_phenotype,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_080,clinical_severity_score,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_081,community_acquired_pneumonia_presence,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_082,comorbidities,confounder,consistent,Aggregate morbidity index; highly consistent evidence across T and Y. Modifier rank 31 exceeds the training-selected prefix of 8.,multi:outer_001_feature_082:predictive_forest:outcome;multi:outer_001_feature_082:predictive_forest:treatment;multi:outer_001_feature_082:univariable:outcome;multi:outer_001_feature_082:univariable:treatment
outer_001_feature_083,complete_blood_count_result,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_084,comprehensive_metabolic_panel_result,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_085,confusion_present,effect_modifier,consistent,Significant gain in R-learner; strong indicator of acute clinical status.,multi:outer_001_feature_085:univariable_rlearner:effect
outer_001_feature_086,contrast_agent_concentration,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_087,copd_presence,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_088,copd_severity,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_089,coronary_artery_disease,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_090,cough_presence,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_091,cough_productivity,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_092,cough_severity,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_093,covid19_infection_status,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_094,cranial_nerve_ii_vi_status,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_095,creatinine_clearance,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_096,creatinine_level,confounder,consistent,Key renal function marker; serves as a stable common cause.,multi:outer_001_feature_096:predictive_forest:outcome;multi:outer_001_feature_096:predictive_forest:treatment;multi:outer_001_feature_096:univariable:outcome;multi:outer_001_feature_096:univariable:treatment
outer_001_feature_097,crp_level,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_098,current_medications,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_099,deconditioning,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_100,diastolic_blood_pressure,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_101,disease_recurrence,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_102,disease_status,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_103,dizziness_present,effect_modifier,consistent,Exceptional R-learner gain; reflects neurological status.,multi:outer_001_feature_103:causal_forest:effect;multi:outer_001_feature_103:univariable_rlearner:effect
outer_001_feature_104,dural_sinus_patency,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_105,dysplasia_status,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_106,dyspnea,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_107,dyspnea_on_exertion,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_108,dyspnea_severity,effect_modifier,consistent,Consistent evidence across UR and CF; captures respiratory limitation.,multi:outer_001_feature_108:causal_forest:effect;multi:outer_001_feature_108:univariable_rlearner:effect
outer_001_feature_109,ecog_performance_status,confounder,consistent,Gold standard for patient fitness; consistent and strong signal in both T and Y.,multi:outer_001_feature_109:predictive_forest:outcome;multi:outer_001_feature_109:predictive_forest:treatment;multi:outer_001_feature_109:univariable:outcome;multi:outer_001_feature_109:univariable:treatment
outer_001_feature_110,edema_presence,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_111,egfr_mutation_status,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_112,embolism_presence,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_113,emphysema,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_114,employment_status,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_115,enzyme_elevation,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_116,eortc_qlq_c30_cognitive_function,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_117,eortc_qlq_c30_emotional_function,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_118,eortc_qlq_c30_global_health,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_119,eortc_qlq_c30_nausea,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_120,eortc_qlq_c30_physical_function,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_121,eortc_qlq_c30_social_function,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_122,epidural_hemorrhage,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_123,erythema_presence,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_124,esophagitis,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_125,estimated_glomerular_filtration_rate,confounder,consistent,Primary marker of renal reserve; definitive evidence for both treatment assignment and outcome.,multi:outer_001_feature_125:predictive_forest:outcome;multi:outer_001_feature_125:predictive_forest:treatment;multi:outer_001_feature_125:univariable:outcome;multi:outer_001_feature_125:univariable:treatment
outer_001_feature_126,exercise_duration,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_127,extra_axial_fluid_collection,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_128,extra_ocular_muscle_appearance,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_129,extremity_exam_findings,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_130,family_history_of_breast_cancer,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_131,family_history_of_colon_cancer,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_132,family_history_of_lung_cancer,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_133,family_history_of_myocardial_infarction,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_134,fatigue,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_135,febrile_neutropenia_presence,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_136,fgfr1_amplification_status,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_137,focal_intra_axial_lesion,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_138,gadolinium_contrast_use,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_139,gemcitabine_tolerance,,insufficient,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_140,gender_identity,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_141,gene_amplification_status,,mixed,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_142,genetic_mutation_status,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_143,genomic_dna_input_amount,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_144,gerd_presence,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_145,globe_appearance,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_146,glucose_level,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_147,growth_factor_support_use,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
outer_001_feature_148,head_shape_and_trauma_status,,consistent,Not retained in the final roles after global consolidation and compact-size selection.,
